Open,Close,High,Low,Volume,Date
4.67055,4.63405,4.68325,4.61385,,07/29/22
4.68745,4.67035,4.74115,4.66715,,07/28/22
4.70275,4.68685,4.74995,4.67635,,07/27/22
4.62055,4.70265,4.71395,4.60425,,07/26/22
4.64095,4.62085,4.65675,4.57875,,07/25/22
4.64245,4.6385,4.64245,4.63585,,07/24/22
4.64095,4.6424,4.6424,4.64095,,07/23/22
4.65665,4.64095,4.70985,4.62285,,07/22/22
4.68325,4.65685,4.69075,4.62865,,07/21/22
4.64845,4.68385,4.70845,4.62375,,07/20/22
4.72465,4.64725,4.74015,4.62715,,07/19/22
4.73965,4.72295,4.74445,4.68775,,07/18/22
4.74145,4.73945,4.74145,4.73305,,07/17/22
4.73965,4.74145,4.74145,4.73965,,07/16/22
4.80925,4.73965,4.81485,4.73065,,07/15/22
4.80185,4.80835,4.84045,4.79155,,07/14/22
4.80105,4.80155,4.84395,4.76935,,07/13/22
4.78925,4.80135,4.85115,4.77245,,07/12/22
4.68735,4.79015,4.79135,4.68735,,07/11/22
4.68775,4.6958,4.69895,4.68725,,07/10/22
4.68735,4.68775,4.68775,4.68735,,07/09/22
4.70545,4.68735,4.76435,4.67775,,07/08/22
4.69095,4.70735,4.72795,4.66465,,07/07/22
4.62795,4.68925,4.72175,4.61575,,07/06/22
4.52025,4.62185,4.65705,4.51365,,07/05/22
4.49945,4.52135,4.53045,4.48955,,07/04/22
4.5036,4.50155,4.5045,4.49975,,07/03/22
4.5036,4.5036,4.5036,4.5036,,07/02/22
4.48415,4.49945,4.53815,4.48255,,07/01/22
4.47185,4.48365,4.52005,4.45315,,06/30/22
4.46415,4.47095,4.48045,4.44175,,06/29/22
4.42645,4.46465,4.46895,4.41325,,06/28/22
4.44275,4.42565,4.45825,4.41515,,06/27/22
4.44405,4.4461,4.4503,4.4418,,06/26/22
4.44275,4.44405,4.44405,4.44275,,06/25/22
4.47005,4.44275,4.48305,4.43875,,06/24/22
4.44465,4.47175,4.49405,4.43825,,06/23/22
4.40075,4.44615,4.46825,4.39995,,06/22/22
4.42265,4.39975,4.42435,4.38675,,06/21/22
4.45775,4.42195,4.46205,4.41095,,06/20/22
4.45765,4.46495,4.4719,4.45765,,06/19/22
4.45855,4.45765,4.45855,4.45765,,06/18/22
4.48105,4.45775,4.49085,4.45325,,06/17/22
4.46645,4.47935,4.54455,4.45575,,06/16/22
4.46815,4.46725,4.50995,4.44055,,06/15/22
4.47045,4.47045,4.48245,4.42935,,06/14/22
4.38195,4.47395,4.47845,4.38195,,06/13/22
4.38125,4.3788,4.38595,4.3759,,06/12/22
4.38145,4.38125,4.38195,4.38115,,06/11/22
4.33805,4.38195,4.39605,4.32075,,06/10/22
4.27815,4.33795,4.34165,4.26155,,06/09/22
4.27425,4.27735,4.29455,4.25275,,06/08/22
4.28705,4.27455,4.30555,4.27285,,06/07/22
4.28055,4.28665,4.29455,4.26675,,06/06/22
4.28215,4.2803,4.28275,4.2759,,06/05/22
4.28055,4.28215,4.28225,4.28055,,06/04/22
4.26055,4.28055,4.29285,4.25165,,06/03/22
4.30845,4.26055,4.31005,4.25475,,06/02/22
4.26695,4.30855,4.32115,4.26535,,06/01/22
4.25345,4.26795,4.28875,4.25285,,05/31/22
4.25895,4.25325,4.26705,4.23815,,05/30/22
4.2572,4.2625,4.2673,4.2572,,05/29/22
4.25895,4.2572,4.25895,4.2572,,05/28/22
4.29355,4.25895,4.30095,4.25385,,05/27/22
4.30895,4.29285,4.32475,4.28995,,05/26/22
4.28495,4.30815,4.33935,4.28085,,05/25/22
4.31075,4.28565,4.32775,4.27505,,05/24/22
4.38285,4.31195,4.38285,4.30805,,05/23/22
4.38305,4.3793,4.38425,4.37875,,05/22/22
4.38285,4.38305,4.38495,4.38285,,05/21/22
4.39145,4.38285,4.40485,4.37505,,05/20/22
4.43735,4.39325,4.44525,4.38385,,05/19/22
4.41045,4.43735,4.44525,4.40185,,05/18/22
4.46435,4.40935,4.46715,4.40375,,05/17/22
4.49745,4.46415,4.50875,4.46115,,05/16/22
4.49855,4.5023,4.5104,4.49695,,05/15/22
4.49745,4.49855,4.49855,4.49745,,05/14/22
4.49665,4.49745,4.52625,4.47845,,05/13/22
4.44375,4.49725,4.50345,4.44055,,05/12/22
4.44555,4.44325,4.45025,4.40065,,05/11/22
4.44415,4.44645,4.45175,4.41565,,05/10/22
4.46845,4.44355,4.49545,4.42755,,05/09/22
4.4705,4.461,4.4705,4.45015,,05/08/22
4.4704,4.4705,4.4705,4.46985,,05/07/22
4.45105,4.46845,4.47845,4.43285,,05/06/22
4.44565,4.45475,4.47525,4.39825,,05/05/22
4.46095,4.44215,4.47135,4.42515,,05/04/22
4.46785,4.45915,4.48665,4.43805,,05/03/22
4.43315,4.46835,4.47655,4.41205,,05/02/22
4.4304,4.4357,4.4372,4.42485,,05/01/22
4.4304,4.4304,4.4304,4.4304,,04/30/22
4.46865,4.43315,4.47155,4.39845,,04/29/22
4.45985,4.46695,4.49305,4.41325,,04/28/22
4.43115,4.45985,4.47475,4.40645,,04/27/22
4.33545,4.43125,4.44155,4.32115,,04/26/22
4.30935,4.33585,4.36365,4.29405,,04/25/22
4.30945,4.2999,4.30945,4.27845,,04/24/22
4.30935,4.30945,4.3152,4.30935,,04/23/22
4.28055,4.30935,4.31635,4.26885,,04/22/22
4.27605,4.28055,4.28935,4.24565,,04/21/22
4.30505,4.27745,4.31415,4.25925,,04/20/22
4.28645,4.30445,4.31345,4.27515,,04/19/22
4.28095,4.28555,4.30115,4.26375,,04/18/22
4.2827,4.2851,4.2885,4.28155,,04/17/22
4.28095,4.2827,4.2827,4.28095,,04/16/22
4.28625,4.28095,4.29995,4.27315,,04/15/22
4.26045,4.28675,4.32315,4.24275,,04/14/22
4.28455,4.26005,4.29445,4.25485,,04/13/22
4.28525,4.28525,4.30165,4.25595,,04/12/22
4.26055,4.28515,4.28725,4.24805,,04/11/22
4.2608,4.2534,4.2608,4.2326,,04/10/22
4.2608,4.2608,4.2608,4.2608,,04/09/22
4.26025,4.26055,4.28195,4.25205,,04/08/22
4.27305,4.26035,4.28055,4.22925,,04/07/22
4.25925,4.27535,4.28765,4.21455,,04/06/22
4.20895,4.25875,4.27075,4.20845,,04/05/22
4.19925,4.20765,4.22875,4.19545,,04/04/22
4.19965,4.20425,4.2119,4.1983,,04/03/22
4.19855,4.1997,4.1997,4.19855,,04/02/22
4.19775,4.19925,4.21145,4.18855,,04/01/22
4.15935,4.20005,4.21795,4.14885,,03/31/22
4.20105,4.15915,4.20635,4.14725,,03/30/22
4.27515,4.19965,4.29395,4.17095,,03/29/22
4.26065,4.27425,4.31525,4.26065,,03/28/22
4.26175,4.2686,4.2705,4.26175,,03/27/22
4.26055,4.26055,4.26055,4.26055,,03/26/22
4.33595,4.26065,4.33985,4.26015,,03/25/22
4.29495,4.33615,4.34615,4.28055,,03/24/22
4.24015,4.29445,4.29585,4.23485,,03/23/22
4.25925,4.24105,4.28485,4.23455,,03/22/22
4.26735,4.25885,4.27525,4.22705,,03/21/22
4.267,4.26095,4.267,4.24745,,03/20/22
4.2669,4.267,4.267,4.2669,,03/19/22
4.21825,4.26735,4.28765,4.21095,,03/18/22
4.23425,4.21945,4.25565,4.19885,,03/17/22
4.29565,4.23535,4.29905,4.21565,,03/16/22
4.32615,4.29935,4.34245,4.27885,,03/15/22
4.38815,4.32455,4.39155,4.29105,,03/14/22
4.38645,4.3778,4.38995,4.3734,,03/13/22
4.38635,4.38635,4.38645,4.38635,,03/12/22
4.35285,4.38815,4.39165,4.32715,,03/11/22
4.31475,4.35335,4.39645,4.30835,,03/10/22
4.47025,4.31275,4.48365,4.29325,,03/09/22
4.59135,4.47015,4.60445,4.43605,,03/08/22
4.47545,4.59135,4.61415,4.47545,,03/07/22
4.49065,4.4957,4.49805,4.4509,,03/06/22
